study_hours,previous_marks,practice_hours,sleep_hours,mobile_usage,final_score
4.5,60.6,3.0,7.0,7.3,48.4
11.4,65.8,2.7,8.5,1.8,94.2
8.8,90.5,1.4,7.4,3.5,74.88
7.2,57.1,4.9,4.5,6.6,62.51
1.9,91.5,3.8,5.1,4.8,50.85
1.9,40.7,6.9,5.3,7.4,40.84
0.7,85.5,0.3,5.5,9.6,14.74
10.4,90.1,5.2,7.4,1.2,100.0
7.2,46.8,6.1,7.0,7.1,68.56
8.5,63.0,6.1,5.2,2.3,94.63
0.2,45.8,7.1,4.4,4.1,46.34
11.6,80.9,5.8,5.0,0.3,100.0
10.0,69.8,7.4,9.9,1.4,100.0
2.5,76.3,2.7,6.8,3.2,51.16
2.2,47.8,4.0,9.2,3.4,54.1
2.2,48.8,0.1,9.1,9.0,22.59
3.7,37.7,0.1,7.1,7.4,21.43
6.3,55.9,1.9,8.2,9.7,42.7
5.2,71.4,0.8,5.2,6.0,38.66
3.5,90.8,2.1,8.1,2.4,75.12
7.3,78.4,1.4,5.6,3.3,61.7
1.7,63.3,0.2,9.0,3.2,30.02
3.5,97.0,7.3,4.5,3.3,87.85
4.4,81.8,0.1,8.6,6.7,43.26
5.5,95.5,5.9,4.6,5.3,76.71
9.4,69.3,1.2,9.3,3.9,72.03
2.4,51.8,7.3,5.8,1.5,80.69
6.2,38.4,7.1,7.9,0.2,90.71
7.1,82.2,5.2,6.9,2.2,93.12
0.6,42.9,5.4,6.2,1.1,54.33
7.3,54.7,0.0,7.9,7.9,41.8
2.0,69.6,7.9,9.7,1.1,94.95
0.8,71.7,7.0,4.2,7.2,48.84
11.4,74.0,7.2,9.5,3.9,100.0
11.6,45.8,5.3,7.7,0.7,100.0
9.7,59.7,2.8,8.8,8.1,69.48
3.7,75.1,7.1,6.3,5.8,72.32
1.2,98.0,2.3,6.8,2.4,59.35
8.2,82.3,4.5,9.2,8.9,73.95
5.3,95.0,0.8,6.5,0.5,70.05
1.5,84.5,7.4,7.2,2.0,80.32
5.9,73.5,1.1,4.1,7.5,37.57
0.4,47.5,1.8,5.0,7.1,21.87
10.9,78.3,4.5,7.9,2.9,93.54
3.1,75.5,6.1,8.3,0.6,95.93
8.0,74.2,5.0,7.5,8.6,76.56
3.7,66.8,1.9,4.9,3.1,39.29
6.2,69.4,0.0,6.7,2.0,55.37
6.6,56.7,6.1,6.1,5.2,72.5
2.2,68.8,7.9,7.0,9.1,61.04
11.6,47.8,6.5,9.2,0.4,100.0
9.3,87.3,3.7,8.7,7.7,80.72
11.3,47.1,7.2,4.5,5.7,88.98
10.7,40.5,3.3,9.3,4.3,75.49
7.2,63.4,4.2,6.8,7.4,59.01
11.1,77.8,3.8,8.5,9.7,83.12
1.1,63.5,3.6,4.8,2.3,38.84
2.4,53.0,6.2,8.0,1.4,73.34
0.5,71.3,4.2,5.4,9.1,35.44
3.9,57.6,2.5,6.6,6.7,40.27
4.7,95.6,2.1,4.1,4.4,58.02
3.3,95.0,0.3,4.9,5.7,46.47
9.9,67.7,4.7,4.6,7.5,69.97
4.3,56.3,1.8,5.4,7.7,30.6
3.4,82.9,1.2,4.6,9.2,27.74
6.5,37.4,5.2,8.2,4.3,74.42
1.7,65.9,5.4,4.2,2.9,63.03
9.6,56.9,6.0,7.7,6.4,77.54
0.9,94.8,4.0,4.8,4.2,58.81
11.8,35.8,7.2,9.7,5.9,100.0
9.3,70.9,7.5,9.6,4.2,100.0
2.4,83.1,6.5,5.4,1.5,79.41
0.1,66.5,5.1,7.7,4.7,50.25
9.8,40.6,2.4,4.2,6.9,58.84
8.5,98.2,7.9,9.6,8.0,100.0
